original,matched,method,country
Sotkamo Region,Sotkamo,suffix,FI
Sottunga Region,Sottunga,suffix,FI
Sulkava Region,Sulkava,suffix,FI
Sund Region,Sundsbruk,suffix,FI
Suomussalmi Region,Suomussalmi,suffix,FI
Suonenjoki Region,Suonenjoki,suffix,FI
Sysmä Region,Sysmä,suffix,FI
Säkylä Region,Säkylä,suffix,FI
Taipalsaari Region,Taipalsaari,suffix,FI
Taivalkoski Region,Taivalkoski,suffix,FI
Taivassalo Region,Taivassalo,suffix,FI
Tammela Region,Tammela,suffix,FI
Tervo Region,Tervo,suffix,FI
Tervola Region,Tervola,suffix,FI
Teuva Region,Teuva,suffix,FI
Tohmajärvi Region,Tohmajärvi,suffix,FI
Toholampi Region,Toholampi,suffix,FI
Toivakka Region,Toivakka,suffix,FI
Tornio Region,Tornio,suffix,FI
Tuusniemi Region,Tuusniemi,suffix,FI
Tuusula Region,Tuusula,suffix,FI
Tyrnävä Region,Tyrnävä,suffix,FI
Ulvila Region,Ulvila,suffix,FI
Urjala Region,Urjala,suffix,FI
Utajärvi Region,Utajärvi,suffix,FI
Utsjoki Region,Utsjoki,suffix,FI
Uurainen Region,Uurainen,suffix,FI
Uusikaupunki Region,Uusikaupunki,suffix,FI
Vaala Region,Vaala,suffix,FI
Valkeakoski Region,Valkeakoski,suffix,FI
Varkaus Region,Varkaus,fuzzy,FI
Vehmaa Region,Vehmaa,suffix,FI
Vesanto Region,Vesanto,suffix,FI
Vesilahti Region,Vesilahti,suffix,FI
Veteli Region,Veteli,suffix,FI
Vieremä Region,Vieremä,suffix,FI
Vihti Region,Vihti,suffix,FI
Viitasaari Region,Viitasaari,suffix,FI
Vimpeli Region,Vimpeli,suffix,FI
Virolahti Region,Virolahti,suffix,FI
Virrat Region,Virrat,suffix,FI
Vårdö Region,Vardø,suffix,FI
Vörå Region,Vörå,suffix,FI
Ylitornio Region,Ylitornio,suffix,FI
Ylivieska Region,Ylivieska,suffix,FI
Ylöjärvi Region,Ylöjärvi,suffix,FI
Ypäjä Region,Ypäjä,suffix,FI
Ähtäri Region,Ähtäri,suffix,FI
Äänekoski Region,Äänekoski,suffix,FI
Trondheim kommune,Trondheim,suffix,NO
Bodø kommune,Bodø,suffix,NO
Verdal kommune,Verdal,suffix,NO
Vik kommune,Vik,suffix,NO
Kragerø kommune,Kragerø,suffix,NO
Stranda kommune,Stranda,suffix,NO
Sandefjord kommune,Sandefjord,suffix,NO
Lillestrøm kommune,Lillestrøm,suffix,NO
Leka kommune,Lockenhaus,suffix,NO
Lier kommune,Lille,suffix,NO
Lødingen kommune,Lødingen,suffix,NO
Vang kommune,Vang,suffix,NO
Tynset kommune,Tynset,suffix,NO
Rollag kommune,Rollag,suffix,NO
Holmestrand kommune,Holmestrand,suffix,NO
Vestby kommune,Vestby,suffix,NO
Jevnaker kommune,Jevnaker,suffix,NO
Hvaler kommune,Våler,fuzzy,NO
Dovre kommune,Dovre,suffix,NO
Kinn kommune,Florø,suffix,NO
Gratangen kommune,Gratangen,suffix,NO
Sirdal kommune,Tonstad,suffix,NO
Haugesund kommune,Haugesund,suffix,NO
Stavanger kommune,Stavanger,suffix,NO
Namsskogan kommune,Namsskogan,suffix,NO
Siljan kommune,Siljan,suffix,NO
Asker kommune,Asker,suffix,NO
Nesbyen kommune,Nesbyen,suffix,NO
Alta kommune,Alta,suffix,NO
Bygland kommune,Bygland,suffix,NO
Namsos kommune,Namsos,fuzzy,NO
Ørsta kommune,Ørsta,suffix,NO
Haram kommune,Haram,suffix,NO
Vaksdal kommune,Vaksdal,suffix,NO
Hyllestad kommune,Hyllestad,suffix,NO
Rakkestad kommune,Rakkestad,suffix,NO
Malvik kommune,Malvik,suffix,NO
Ulvik kommune,Ulvik,suffix,NO
Hurdal kommune,Hurdal,suffix,NO
Tønsberg kommune,Tønsberg,suffix,NO
Tysvær kommune,Tysvær,suffix,NO
Grong kommune,Grong,suffix,NO
Hå kommune,Ha,suffix,NO
Folldal kommune,Folldal,suffix,NO
Trysil kommune,Innbygda,suffix,NO
Bokn kommune,Bokn,suffix,NO
Engerdal kommune,Engerdal,suffix,NO
Fauske kommune,Fauske,suffix,NO
Lærdal kommune,Lærdalsøyri,suffix,NO
Utsira kommune,Utsira,suffix,NO
Sula kommune,Sola,suffix,NO
Steinkjer kommune,Steinkjer,suffix,NO
Sarpsborg kommune,Sarpsborg,suffix,NO
Nesna kommune,Nesna,suffix,NO
Alvdal kommune,Alvdal,suffix,NO
Fyresdal kommune,Fyresdal,suffix,NO
Røst kommune,Røst,suffix,NO
Høyanger kommune,Høyanger,suffix,NO
Masfjorden kommune,Masfjorden,suffix,NO
Porsgrunn kommune,Porsgrunn,suffix,NO
Rindal kommune,Rindal,suffix,NO
Narvik kommune,Narvik,suffix,NO
Levanger kommune,Levanger,suffix,NO
Berlevåg kommune,Berlevåg,suffix,NO
Hamar kommune,Hamar,suffix,NO
Hol kommune,Hol,suffix,NO
Nord-Odal kommune,Sand,suffix,NO
Valle kommune,Valle,suffix,NO
Gjerstad kommune,Gjerstad,suffix,NO
Lurøy kommune,Lurøy,suffix,NO
Melhus kommune,Melhus,fuzzy,NO
Eidfjord kommune,Eidfjord,suffix,NO
Hemsedal kommune,Hemsedal,suffix,NO
Elverum kommune,Elverum,suffix,NO
Råde kommune,Karlshus,suffix,NO
Sveio kommune,Sveio,suffix,NO
Frosta kommune,Frosta,suffix,NO
Sortland kommune,Sortland,suffix,NO
Åfjord kommune,Å i Åfjord,suffix,NO
Larvik kommune,Larvik,suffix,NO
Karasjok kommune,Kárášjohka,suffix,NO
Lillehammer kommune,Lillehammer,suffix,NO
Hole kommune,Halen,suffix,NO
Ål kommune,Ål,suffix,NO
Fredrikstad kommune,Fredrikstad,suffix,NO
Tokke kommune,Stokke,fuzzy,NO
Gol kommune,Gol,suffix,NO
Aukra kommune,Aukra,suffix,NO
Voss kommune,Voss,suffix,NO
Flekkefjord kommune,Flekkefjord,suffix,NO
Bardu kommune,Le Bardo,suffix,NO
Ringebu kommune,Ringebu,suffix,NO
Ørland kommune,Orland Park,suffix,NO
Nome kommune,Nome,suffix,NO
Grimstad kommune,Grimstad,suffix,NO
Risør kommune,Risør,suffix,NO
Kongsberg kommune,Kongsberg,suffix,NO
Årdal kommune,Ardal,suffix,NO
Horten kommune,Horten,suffix,NO
Gran kommune,Esztergom,suffix,NO
Fjaler kommune,Dale,suffix,NO
Kvam kommune,Kvam,suffix,NO
Sauda kommune,Sauda,suffix,NO
Nærøysund kommune,Årøysund,fuzzy,NO
Hammerfest kommune,Hammerfest,suffix,NO
Vevelstad kommune,Vevelstad,suffix,NO
Notodden kommune,Notodden,suffix,NO
Kviteseid kommune,Kviteseid,suffix,NO
Austrheim kommune,Austrheim,suffix,NO
Lyngdal kommune,Lyngdal,suffix,NO
Harstad kommune,Harstad,suffix,NO
Rana kommune,Lana,suffix,NO
Tingvoll kommune,Tingvoll,suffix,NO
Surnadal kommune,Surnadal,suffix,NO
Skien kommune,Skien,suffix,NO
Åmli kommune,Åmli,suffix,NO
Stjørdal kommune,Stjørdal,suffix,NO
Båtsfjord kommune,Båtsfjord,suffix,NO
Vestnes kommune,Vestnes,fuzzy,NO
Balsfjord kommune,Båtsfjord,fuzzy,NO
Brønnøy kommune,Brønnøysund,suffix,NO
Tolga kommune,Tolga,suffix,NO
Hareid kommune,Hareid,suffix,NO
Nordre_Land kommune,Nodeland,fuzzy,NO
Senja kommune,Senja,suffix,NO
Flå kommune,Flå,suffix,NO
Tromsø kommune,Tromsø,suffix,NO
Kristiansand kommune,Kristiansand,suffix,NO
Snåsa kommune,Snåase,suffix,NO
Seljord kommune,Seljord,suffix,NO
Rauma kommune,Rauma,suffix,NO
Lesja kommune,Lesja,suffix,NO
Skjervøy kommune,Skjervøy,suffix,NO
Fitjar kommune,Fitjar,suffix,NO
Løten kommune,Løten,suffix,NO
Vardø kommune,Vardø,suffix,NO
Volda kommune,Volda,suffix,NO
Aure kommune,Aure,suffix,NO
Sørreisa kommune,Sørreisa,suffix,NO
Skaun kommune,Skaun,suffix,NO
Stange kommune,Stange,suffix,NO
Dønna kommune,Donna,suffix,NO
Hemnes kommune,Hemnes,fuzzy,NO
Fedje kommune,Fedje,suffix,NO
Meråker kommune,Meråker,suffix,NO
Austevoll kommune,Austevoll,suffix,NO
Hattfjelldal kommune,Hattfjelldal,suffix,NO
Etne kommune,Etne,suffix,NO
Oppdal kommune,Oppdal,suffix,NO
Sogndal kommune,Sogndal,suffix,NO
Eidsvoll kommune,Eidsvoll,suffix,NO
Smøla kommune,Sola,fuzzy,NO
Vennesla kommune,Vennesla,suffix,NO
Molde kommune,Molde,suffix,NO
Stryn kommune,Stryn,suffix,NO
Klepp kommune,Kleppe,fuzzy,NO
Grane kommune,Grane,suffix,NO
Tana kommune,Thāne,suffix,NO
Høylandet kommune,Høylandet,suffix,NO
Eigersund kommune,Egersund,fuzzy,NO
Halden kommune,Halden,suffix,NO
Lillesand kommune,Lillesand,suffix,NO
Moss kommune,Moss,suffix,NO
Ålesund kommune,Ålesund,suffix,NO
Åmot kommune,Åmot,suffix,NO
Sykkylven kommune,Sykkylven,suffix,NO
Sel kommune,Seoul,suffix,NO
Kvinesdal kommune,Kvinesdal,suffix,NO
Arendal kommune,Arendal,suffix,NO
Tvedestrand kommune,Tvedestrand,suffix,NO
Sola kommune,Sola,suffix,NO
Kristiansund kommune,Kristiansund,suffix,NO
Lierne kommune,Liernais,suffix,NO
Bykle kommune,Bykle,suffix,NO
Kautokeino kommune,Kautokeino,suffix,NO
Askvoll kommune,Askvoll,suffix,NO
Gjøvik kommune,Gjøvik,suffix,NO
Kongsvinger kommune,Kongsvinger,suffix,NO
Randaberg kommune,Randaberg,suffix,NO
Vega kommune,La Vega,suffix,NO
Drammen kommune,Drammen,suffix,NO
Farsund kommune,Farsund,suffix,NO
Røyrvik kommune,Røyrvik,suffix,NO
Luster kommune,Luster,suffix,NO
Vadsø kommune,Vadsø,suffix,NO
Tamaki City,Tamaki,suffix,NZ
Dobieszczyn,Dobieszczyzna,fuzzy,PL
Kalish Pomorski,Kalisz Pomorski,fuzzy,PL
Oaxos,Axós,fuzzy,GR
Aigai,Aigáni,fuzzy,GR
Istron,Ístro,fuzzy,GR
Arethusa,Aréthousa,fuzzy,GR
Angeia,Anógeia,fuzzy,GR
Grad Sveti Ivan Zelina,Sveti Ivan Zelina,fuzzy,HR
Nin Town,Nin,suffix,HR
Grad Hrvatska Kostajnica,Hrvatska Kostajnica,fuzzy,HR
Namballe District,Namballe,suffix,PE
Donostia-San Sebasti,Donostia / San Sebastián,fuzzy,ES
Ubidea,Ubide,fuzzy,ES
Morga,Mora,fuzzy,ES
Elduaien,Elduain,fuzzy,ES
Stockholm Region,Stockholm,suffix,SE
Göteborgs Stad,Gothenburg,suffix,SE
Uppsala kommun,Uppsala,suffix,SE
Linköping kommun,Linköping,suffix,SE
Örebro kommun,Örebro,suffix,SE
Västerås kommun,Västerås,fuzzy,SE
Jönköping kommun,Jönköping,suffix,SE
Norrköping kommun,Norrköping,suffix,SE
Umeå kommun,Umeå,suffix,SE
Gävle kommun,Gävle,suffix,SE
Borås kommun,Bor,suffix,SE
Eskilstuna kommun,Eskilstuna,suffix,SE
Halmstad kommun,Halmstad,suffix,SE
Växjö kommun,Växjö,suffix,SE
Karlstad kommun,Karlstad,suffix,SE
Sundsvall kommun,Sundsvall,suffix,SE
Östersund kommun,Östersund,suffix,SE
Trollhättan kommun,Trollhättan,suffix,SE
Luleå kommun,Luleå,suffix,SE
Lidingö kommun,Lidingö,suffix,SE
Täby kommun,Täby,suffix,SE
Motala kommun,Motala,suffix,SE
Falun kommun,Falun,suffix,SE
Skövde kommun,Skövde,suffix,SE
Karlskrona kommun,Karlskrona,suffix,SE
Kristianstad kommun,Kristianstad,suffix,SE
Kiruna kommun,Kiruna,suffix,SE
Jokkmokk kommun,Jokkmokk,suffix,SE
Båstad kommun,Båstad,suffix,SE
Ystad kommun,Ystad,suffix,SE
Norsjö kommun,Norsjö,suffix,SE
Gnosjö kommun,Gnosjö,suffix,SE
Sunne kommun,Sunne,suffix,SE
Vetlanda kommun,Vetlanda,suffix,SE
Ånge kommun,Ånge,suffix,SE
Åmål kommun,Åmål,suffix,SE
Lilla_Edet kommun,Lilla Edet,suffix,SE
Simrishamn kommun,Simrishamn,suffix,SE
Tibro kommun,Tibro,suffix,SE
Torsås kommun,Torsa,suffix,SE
Filipstad kommun,Filipstad,suffix,SE
Gällivare kommun,Gällivare,suffix,SE
Vingåker kommun,Vingåker,suffix,SE
Kumla kommun,Kumla,suffix,SE
Skellefteå kommun,Skellefteå,suffix,SE
Hällefors kommun,Hällefors,fuzzy,SE
Vara kommun,Vara,suffix,SE
Norrtälje kommun,Norrtälje,suffix,SE
Munkedal kommun,Munkedal,suffix,SE
Osby kommun,Osby,suffix,SE
Årjäng kommun,Årjäng,suffix,SE
Hudiksvall kommun,Hudiksvall,suffix,SE
Forshaga kommun,Forshaga,suffix,SE
Kävlinge kommun,Kävlinge,suffix,SE
Mölndal kommun,Mölndal,suffix,SE
Torsby kommun,Torsby,suffix,SE
Karlsborg kommun,Karlsborg,suffix,SE
Mörbylånga kommun,Mörbylånga,suffix,SE
Nordmaling kommun,Nordmaling,suffix,SE
Boxholm kommun,Boxholm,suffix,SE
Ängelholm kommun,Ängelholm,suffix,SE
Härnösand kommun,Härnösand,suffix,SE
Arvika kommun,Arvika,suffix,SE
Östhammar kommun,Östhammar,suffix,SE
Krokom kommun,Krokom,suffix,SE
Orsa kommun,Orsa,suffix,SE
Nora kommun,Nora,suffix,SE
Olofström kommun,Olofström,suffix,SE
Ljungby kommun,Ljungby,suffix,SE
Perstorp kommun,Perstorp,suffix,SE
Piteå kommun,Piteå,suffix,SE
Tranås kommun,Tran,suffix,SE
Askersund kommun,Askersund,suffix,SE
Habo kommun,Habo,suffix,SE
Söderhamn kommun,Söderhamn,suffix,SE
Sjöbo kommun,Sjöbo,suffix,SE
Oskarshamn kommun,Oskarshamn,suffix,SE
Laxå kommun,Laxå,suffix,SE
Nacka kommun,Nacka,suffix,SE
Pajala kommun,Pajala,suffix,SE
Älmhult kommun,Älmhult,suffix,SE
Västervik kommun,Västervik,suffix,SE
Sigtuna kommun,Sigtuna,suffix,SE
Fagersta kommun,Fagersta,suffix,SE
Alingsås kommun,Alingsås,fuzzy,SE
Bjurholm kommun,Bjurholm,suffix,SE
